,italian,english
443,chiama,who loves
444,messo,put
445,piccolo,small
446,traduzione,translation
447,tardi,late
448,cuore,heart
449,marito,husband
450,viene,he comes
451,venuto,coming
452,ieri,yesterday
453,spero,I hope
454,ricordi,memories
455,quelli,those
456,dovremmo,we should
457,lasciato,left
458,ascolta,listens
459,difficile,hard
460,quell',that'
461,auto,car
462,chiamato,called
463,ciÃ²,what
464,altre,other
465,parlando,speaking
466,pensare,think
467,fantastico,fantastic
468,fatta,made
469,numero,number
470,veramente,truly
471,fanno,they do
472,com',com
473,serio,serious
474,possa,may
475,fossi,you were
476,entrare,to come in
477,anch',Anch '
478,qualsiasi,any
479,pensa,thinks
480,dicendo,saying
481,acqua,water
482,portato,carried
483,stanza,room
484,problemi,problems
485,forte,strong
486,nessuna,none
487,lascia,leaves
488,amo,I love
489,roba,stuff
490,agente,agent
491,dietro,behind
492,corpo,body
493,pare,it seems
494,sentire,hear
495,foto,photo
496,telefono,phone
497,voleva,she wanted
498,poco,little
499,prendi,take
500,piccola,small
501,vicino,near
502,quest',This
503,sacco,sack
504,stia,stia
505,capire,understand
506,potuto,could
507,cinque,five
508,strano,strange
509,tue,yours
510,andando,going
511,donne,women
512,sappiamo,we know
513,bravo,good boy
514,ragazze,girls
515,festa,party
516,senso,sense
517,genere,gender
518,quattro,four
519,dare,give
520,attimo,moment
521,sorella,sister
522,pure,mashed potato
523,probabilmente,probably
524,film,movie
525,parla,speak out
526,ufficio,office
527,verso,towards
528,mesi,months
529,farti,make yourself
530,unica,unique
531,morire,die
532,signorina,Miss
533,vecchio,old
534,domanda,request
535,ben,well
536,guerra,war
537,dottore,doctor
538,conosco,I know
539,qual,a
540,vivere,to live
541,vista,view
542,prova,trial
543,nuova,new
544,ricordo,I remember
545,divertente,fun
546,avessi,I had
547,sicura,safe
548,paio,pair
549,conto,bill
550,perdere,lose
551,dimmi,tell me
552,farmi,do
553,figli,sons
554,mezzo,middle
555,lavorare,to work
556,unico,one of a kind
557,esattamente,exactly
558,squadra,squad
559,esatto,exact
560,possono,can
561,fate,you do
562,faro,Lighthouse
563,sapete,You know
564,dottor,dottor
565,parola,word
566,piedi,feet
567,sopra,over it
568,motivo,reason
569,avevi,you had
570,cavolo,cabbage
571,capitano,captain
572,finita,finite
573,volete,you want
574,siano,they are
575,potresti,could
576,gioco,game
577,perfetto,perfect
578,be,be
579,mente,mind
580,mangiare,eat
581,resto,rest
582,credere,to believe
583,fortuna,fortune
584,tratta,deals with
585,chiamo,call
586,morta,dead
587,lÃ,there
588,entrambi,both of them
589,avresti,you would have
590,passare,pass
591,cena,dinner
592,the,The
593,sarei,I would be
594,controllo,check
595,affari,business
596,spiace,sorry
597,ultimo,last
598,facile,easy
599,farÃ²,will
600,buongiorno,Good morning
601,davanti,front
602,tizio,guy
603,dammi,give me
604,sicurezza,safety
605,dalle,give her
606,quanti,how many
607,dica,say
608,matrimonio,marriage
609,john,John
610,vogliono,they want
611,molti,many
612,culo,ass
613,fuoco,fire
614,cercare,search for
615,pistola,pistol
616,potremmo,we could
617,re,king
618,mandato,mandate
619,puttana,whore
620,negli,in
621,cioe,that is
622,inizio,Start
623,saranno,they will be
624,causa,cause
625,voglia,wants
626,mettere,put
627,fammi,do for me
628,uccidere,kill
629,vogliamo,we want
630,faremo,we will do
631,perÃ²,though
632,genitori,parents
633,sesso,sex
634,potete,you can
635,ricevuto,received
636,vivo,I live
637,presidente,president
638,cittÃ,city
639,citta,city
640,succedendo,happening
641,ospedale,hospital
642,fu,was
643,agli,to
644,scritto,written
645,smettila,stop that
646,vada,go
647,attenzione,Attention
648,sulle,on
649,bere,drinking
650,situazione,situation
651,omicidio,homocide
652,revisione,revision
653,avesse,he had
654,ottimo,optimal
655,cura,treatment
656,durante,during
657,provato,tried
658,parole,words
659,lasciare,to leave
660,dicono,they say
661,new,new
662,prossima,next
663,nostre,our
664,arrivato,arrived
665,paese,village
666,sull',On
667,andate,go
668,chiunque,whoever
669,capisci,Do you understand
670,pace,peace
671,immagino,I imagine
672,musica,music
673,tieni,keep
674,oddio,oh God
675,jack,jack
676,libro,book
677,eravamo,we were
678,amica,friend
679,diventare,become
680,sui,on
681,sbagliato,wrong
682,dirmi,tell me
683,wow,wow
684,farai,do
685,entra,come in
686,venuta,coming
687,scelta,choice
688,voluto,desired
689,portare,bring
690,assolutamente,absolutely
691,molte,many
692,chiedo,ask
693,torna,back
694,scoperto,discovery
695,fatti,facts
696,settimane,weeks
697,dirlo,tell him
698,alcuni,some
699,prigione,prison
700,giornata,day
701,piuttosto,Rather
702,buono,good
703,aspettare,wait
704,parli,you speak
705,arrivare,arrive
706,lungo,long
707,vede,see
708,avvocato,lawyer
709,deciso,decided
710,sarai,you will be
711,messaggio,message
712,dormire,sleep
713,dieci,ten
714,stupido,stupid
715,usare,use
716,dello,of the
717,cielo,sky
718,guardare,watch
719,bagno,bathroom
720,aria,air
721,voce,voice
722,tornato,got back
723,vuol,vuol
724,giÃ¹,down
725,conosci,you know
726,benissimo,very good
727,prendo,I take
728,verita,truth
729,cane,dog
730,restare,to remain
731,chiamare,to call
732,poter,be able
733,campo,field
734,luce,light
735,sam,sam
736,qualunque,any
737,giovane,young
738,signori,gentlemen
739,fra,between
740,provare,try out
741,minuto,minute
742,saperlo,know
743,lontano,distant
744,gruppo,group
745,continua,keep it going
746,arrivo,I arrive
747,gran,great
748,realta,reality
749,cerca,near
750,passo,step
751,domande,requests
752,insomma,In short
753,bambina,girl
754,pensando,think
755,capelli,hair
756,trova,finds
757,onore,honor
758,aiutare,to help
759,veritÃ,truth
760,prove,proof
761,n',n '
762,funziona,Works
763,alto,tall
764,giu,below
765,credevo,I thought
766,futuro,future
767,preoccuparti,care
768,idiota,idiot
769,cibo,food
770,fretta,rush
771,cara,Dear
772,finalmente,long last
773,morti,dead
774,odio,hate
775,solito,usual
776,brava,good
777,Ã©,Ã ©
778,incidente,accident
779,allo,at the
780,dev',dev
781,intenzione,intention
782,speciale,special
783,cambiare,change
784,vera,real
785,camera,room
786,oltre,beyond
787,semplice,simple
788,dirti,tell you
789,riguardo,about
790,finche,as long as
791,aspetto,appearance
792,viaggio,voyage
793,chiaro,clear
794,chiamata,call
795,bocca,mouth
796,permesso,permit
797,piacerebbe,would like
798,dovete,you have to
799,giocare,to play
800,ordine,order
801,circa,about
802,ovviamente,obviously
803,finire,to finish
804,piu',more'
805,natale,Christmas
806,i',the'
807,direi,I'd say
808,vostri,your
809,occhio,eye
810,pronta,ready
811,scusami,excuse me
812,mattina,morning
813,cercato,looked for
814,crede,you think
815,sistema,system
816,york,York
817,fondo,background
818,resta,remains
819,devono,must
820,prossimo,next
821,pronti,ready
822,saputo,known
823,scusate,excuse me
824,potere,power
825,milioni,millions
826,soltanto,only
827,armi,weapons
828,arriva,he arrives
829,fermo,stopped
830,mese,month
831,chiedere,ask
832,cristo,Christ
833,torno,turn
834,venite,Come
835,controllare,check
836,appuntamento,appointment
837,s,s
838,chiami,who do you Love
839,vecchia,old
840,detective,detective
841,pero,However
842,metti,you put
843,grado,grade
844,vanno,they go
845,nave,ship
846,iniziato,started
847,perche',because'
848,informazioni,information
849,libero,free
850,stronzo,asshole
851,grandi,large
852,pezzo,piece
853,segreto,secret
854,colpo,hit
855,faceva,did
856,piacciono,like
857,porto,port
858,oppure,or
859,completamente,completely
860,vederti,see you
861,lista,list
862,venga,come
863,veloce,rapid
864,assassino,killer
865,sapeva,He knew
866,finchÃ©,finance
867,tom,Tom
868,ormai,at this point
869,interessa,interest
870,generale,general
871,giusta,right
872,tenere,to hold
873,pazzo,crazy
874,vittima,victim
875,giuro,I swear
876,consiglio,Advice
877,michael,Michael
878,alcune,someone
879,semplicemente,simply
880,zio,uncle
881,centro,center
882,specie,species
883,mille,one thousand
884,sogno,dream
885,lasci,leave
886,carino,cute
887,doveva,where you go
888,brutto,ugly
889,nello,in
890,aspetti,aspects
891,incredibile,incredible
892,sole,Sun
893,glielo,it
894,legge,law
895,spesso,often
896,guardate,watch
897,cambiato,changed
898,scena,scene
899,volevi,you wanted
900,charlie,Charlie
901,lasciami,leave me
902,gentile,Kind
903,rispetto,respect
904,ve,ve
905,fara,will make
906,zitto,Shut up
907,incontro,encounter
908,farÃ,will make
909,servono,serve
910,rapporto,relationship
911,errore,error
912,mike,mike
913,sanno,know
914,pagare,to pay
915,sorpresa,surprise
916,occhiata,look
917,risposta,answer
918,presa,socket
919,servizio,service
920,medico,doctor
921,usato,used
922,hey,hey
923,caro,expensive
924,schifo,disgust
925,avrai,you will have
926,dolore,ache
927,saresti,would you be
928,personale,personal
929,quali,Which
930,saro,I will be
931,peggio,worse
932,addio,goodbye
933,addosso,on
934,dovevo,I had to
935,poteva,he could
936,pieno,full
937,diverso,different
938,vestiti,clothes
939,sparato,shot
940,realtÃ,reality
941,do,do
942,sarÃ²,It will be
943,normale,normal
944,fame,hunger
945,programma,program
946,nonna,Grandmother
947,sappia,knock
948,sembrava,It seemed
949,migliori,best
950,notizie,news
951,avevamo,we had
952,riesci,are able
953,posizione,position
954,vengo,I come
955,rimanere,to remain
956,compagnia,company
957,proposito,purpose
958,farci,make us
959,joe,joe
960,ricorda,remember
961,frank,frank
962,prende,takes
963,tante,many
964,avevano,they had
965,arrivando,arriving
966,chiuso,Closed
967,terribile,terrible
968,ritardo,delay
969,attento,careful
970,bar,bar
971,sembri,you look
972,fallo,just do it
973,dimenticato,forgotten
974,bisogna,must
975,impossibile,impossible
976,cioÃ¨,ie
977,studio,study
978,stessi,themselves
979,arma,weapon
980,conosce,knows
981,uscita,exit
982,ii,II
983,fin,fin
984,disse,She said
985,david,david
986,vattene,get out
987,quante,how much it is
988,guai,trouble
989,intorno,around
990,video,video
991,manca,is missing
992,esserci,us
993,grosso,big
994,tanti,many
995,dolce,sweet
996,chiave,key
997,cervello,brain
998,coraggio,courage
999,interessante,Interesting
