,german,english
134,leben,Life
135,hatte,had
136,zeit,time
137,weil,because
138,willst,want
139,kommen,come
140,dein,your
141,heute,today
142,kommt,comes
143,wollen,want
144,damit,in order to
145,ganz,all
146,wÃ¤re,be
147,wollte,wanted
148,weiÃŸt,knives
149,ok,OK
150,sicher,secure
151,gesagt,said
152,frau,Mrs
153,nun,well
154,bis,until
155,wurde,would
156,leid,suffering
157,na,n / A
158,kannst,can
159,macht,power
160,dieser,this
161,zurÃ¼ck,back
162,lassen,leave
163,hallo,Hi
164,meinen,think
165,gott,God
166,seine,his
167,hÃ¤tte,had
168,zwei,two
169,kÃ¶nnte,might
170,genau,I agree
171,waren,was
172,zur,to the
173,lass,let
174,klar,clear
175,morgen,tomorrow
176,leute,People
177,vater,father
178,schÃ¶n,beauty
179,glaube,faith
180,mr.,mr.
181,ab,away
182,gerade,just
183,tag,Day
184,gesehen,seen
185,reden,talk
186,wohl,well
187,liebe,love
188,sollte,should
189,sagte,said
190,unsere,our
191,jemand,someone
192,geld,money
193,durch,through
194,ob,if
195,keinen,none
196,mutter,mother
197,raus,Out
198,gemacht,did
199,paar,pair
200,mach,make up
201,passiert,happens
202,dachte,thought
203,besser,better
204,musst,must
205,wieso,how so
206,sir,sir
207,dieses,this
208,selbst,self
209,gehÃ¶rt,belonging
210,mÃ¶chte,want
211,ohne,without
212,hÃ¶r,pit
213,her,on
214,sag,say
215,meiner,mine
216,anderen,others
217,helfen,help
218,nacht,night
219,finden,Find
220,diesen,this
221,gute,quality
222,wirst,become
223,lange,Long
224,natÃ¼rlich,coursey
225,ach,Oh
226,meinem,my
227,gar,at all
228,ins,into the
229,sei,may be
230,dort,there
231,weiter,further
232,geben,give
233,seit,since
234,gleich,same
235,sagt,says
236,recht,law
237,ihren,your
238,richtig,correct
239,ordnung,order
240,vom,from the
241,hÃ¶ren,hear
242,sieht,sees
243,davon,of that
244,dafÃ¼r,for that
245,geh,go
246,diesem,This
247,wegen,because
248,hause,home
249,sollten,should
250,mÃ¤dchen,girl
251,hin,there
252,sollen,should
253,abend,Eve
254,haus,House
255,denke,think
256,viele,lots
257,drei,three
258,deinen,yours
259,freund,friend
260,guten,good
261,unser,our
262,warte,wait
263,machst,make
264,menschen,People
265,essen,meal
266,angst,fear
267,bleiben,remain
268,zusammen,together
269,welt,world
270,unter,under
271,habt,have
272,schnell,fast
273,andere,other
274,tot,dead
275,getan,did
276,darf,may
277,erst,first
278,rein,pure
279,stimmt,Right
280,nehmen,to take
281,kinder,children
282,eines,one
283,glauben,believe
284,bringen,bring
285,ganze,whole
286,genug,enough
287,scheiÃŸe,shit
288,brauchen,to need
289,gegen,against
290,moment,moment
291,junge,Boy
292,steht,stands
293,sonst,otherwise
294,musik,music
295,arbeit,work
296,seid,are
297,ihrer,of their
298,fragen,questions
299,herr,Mister
300,dabei,included
301,heiÃŸt,hopeful
302,familie,family
303,warten,wait
304,niemand,nobody
305,sofort,immediately
306,bevor,before
307,jahre,years
308,einmal,once
309,problem,problem
310,sohn,son
311,wann,when
312,brauche,need
313,fertig,done
314,halt,stop
315,allein,alone
316,beim,at the
317,sprechen,to speak
318,beide,both
319,gefunden,found
320,hatten,had
321,sache,matter
322,hilfe,help
323,verdammt,Damn it
324,ne,ne
325,jeder,everyone
326,warst,wicked
327,gern,gladly
328,konnte,could
329,darÃ¼ber,about it
330,halten,keep
331,siehst,see
332,verstehe,understand
333,jahren,Years
334,kam,came
335,kind,child
336,wusste,knew
337,wahr,true
338,seinen,his
339,dazu,to
340,bruder,brothers
341,daran,to it
342,ihrem,Yours
343,denken,think
344,kÃ¶nnten,could
345,dank,thanks to
346,wÃ¼rden,be
347,lieber,rather
348,fall,case
349,deiner,yours
350,sehe,see
351,egal,no matter
352,kennen,know
353,deinem,your
354,vergessen,forget
355,frage,ask
356,mache,make
357,komme,come
358,sage,legend
359,mag,like
360,sieh,look
361,echt,real
362,gib,give
363,eigentlich,actually
364,jeden,every
365,dad,dad
366,gab,gave
367,uhr,Clock
368,stadt,city
369,mÃ¤nner,man
370,baby,infant
371,fahren,drive
372,namen,name
373,bekommen,to get
374,kopf,head
375,hi,Hi
376,gehe,go
377,kleine,small
378,spÃ¤ter,later
379,glÃ¼ck,luck
380,letzte,last
381,freunde,friends
382,n,n
383,all,Alles
384,darauf,thereon
385,ende,end
386,dr.,Dr.
387,bald,soon
388,tÃ¶ten,kill
389,dinge,things
390,meinst,mean
391,toll,Great
392,eins,one
393,minuten,minute
394,vielen,many
395,bereit,ready
396,weit,far
397,ahnung,idea
398,seiner,his
399,bisschen,little
400,tÃ¼r,tower
401,auto,automobile
402,jungs,guys
403,eure,your
404,augen,eyes
405,polizei,police
406,stehen,stand
407,sterben,to die
408,hÃ¤tten,exist
409,drauÃŸen,out
410,kenne,know
411,fast,nearly
412,runter,down
413,vorbei,past
414,treffen,meeting
415,gerne,gladly
416,dran,your turn
417,wurden,became
418,arbeiten,work
419,mom,Mom
420,verrÃ¼ckt,crazy
421,neue,new
422,ging,went
423,hinter,Behind
424,sorgen,"ensure, to care"
425,einzige,only
426,jemanden,someone
427,darum,therefore
428,tochter,daughter
429,braucht,needs
430,idee,idea
431,schwester,sister
432,drin,in it
433,ruhig,quiet
434,sah,saw
435,ganzen,entire
436,spÃ¤t,late
437,ziemlich,pretty much
438,solltest,ward
439,name,Surname
440,sogar,even
441,kurz,short
442,kerl,Guy
443,frauen,women
444,liegt,located
445,suchen,search
446,finde,find
447,je,ever
448,woher,where from
449,lang,long
450,job,job
451,keiner,none
452,seinem,his
453,hÃ¶rt,hard
454,verstehen,to understand
455,spielen,play
456,s.,S.
457,Ã¼berhaupt,At all
458,teufel,Devil
459,verstanden,Roger that
460,verloren,lost
461,groÃŸe,big
462,hand,hand
463,grund,ground
464,jahr,year
465,kommst,come
466,mama,mummy
467,ruhe,Quiet
468,gewesen,been
469,tod,death
470,stunden,hours
471,hoffe,hope
472,denkst,think
473,oben,above
474,gestern,yesterday
475,versuchen,to attempt
476,art,kind
477,letzten,last
478,schatz,Darling
479,endlich,at last
480,he,head
481,nimm,take
482,etwa,about
483,erzÃ¤hlt,obvious
484,lÃ¤uft,run
485,schwer,heavy
486,anders,different
487,miss,miss
488,musste,had to
489,fÃ¼nf,fifty
490,wasser,water
491,lÃ¤sst,lash
492,erste,first
493,versucht,tries
494,gekommen,came
495,geschichte,story
496,wenig,little
497,holen,fetch
498,bedeutet,means
499,nett,kind
500,wahrheit,truth
501,woche,week
502,bringt,brings
503,deshalb,for this reason
504,welche,Which
505,bestimmt,definitely
506,hoch,high
507,alter,old
508,sagst,tell
509,schau,show
510,ah,Ah
511,land,country
512,zimmer,room
513,wagen,car
514,vier,four
515,gefallen,please
516,spaÃŸ,spasm
517,niemals,No way
518,schuld,blame
519,getÃ¶tet,undressed
520,wollten,wanted to
521,verlassen,leaving
522,zeigen,show
523,beste,best
524,ernst,serious
525,unserer,our
526,denen,to them
527,ort,location
528,bleibt,remains
529,wÃ¼rdest,wholesale
530,manchmal,sometimes
531,glaubst,believe
532,seite,page
533,lasst,leaves
534,zwischen,between
535,eben,even
536,wÃ¤hrend,while
537,spiel,game
538,nehme,take
539,ersten,first
540,guter,goods
541,chance,chance
542,freundin,friend
543,krieg,war
544,gefÃ¤llt,fell
545,kleinen,small
546,erzÃ¤hlen,tell
547,anderes,other
548,tage,day
549,entschuldigen,apologize
550,wichtig,important
551,gehst,go
552,allen,all
553,bett,bed
554,mrs.,MRS.
555,sachen,things
556,the,the
557,schlecht,bad
558,schule,school
559,entschuldigung,Excuse me
560,wort,word
561,john,John
562,hÃ¤ttest,hat
563,wÃ¤ren,make
564,typ,Type
565,schlafen,sleep
566,Ã¤h,Äh
567,tu,tu
568,euer,your
569,captain,captain
570,gesicht,face
571,falls,if
572,neuen,new
573,bloÃŸ,blossom
574,unten,below
575,teil,part
576,beiden,both
577,mensch,human
578,kleiner,smaller
579,stellen,put
580,oft,often
581,sorge,worries
582,gedacht,thought
583,tust,tu
584,trinken,drink
585,einige,some
586,dies,this
587,ding,thing
588,unseren,Our
589,kriegen,Obtain
590,blut,blood
591,ehrlich,honest
592,eltern,parents
593,scheint,seems
594,herz,heart
595,jack,Jack
596,glÃ¼cklich,lucky
597,alte,old
598,alt,old
599,bleib,stay
600,wiedersehen,reunion
601,frei,free
602,wen,whom
603,drauf,on it
604,mÃ¶glich,possibly
605,irgendwie,somehow
606,reicht,suffices
607,fest,fixed
608,besten,best
609,waffe,weapon
610,kaum,barely
611,irgendwas,anything
612,klingt,sound
613,platz,place
614,brauchst,need
615,rede,speech
616,papa,father
617,falsch,not correct
618,sondern,but
619,alten,old
620,nummer,number
621,frÃ¼her,earlier
622,jungen,boys
623,wohin,where
624,auÃŸer,outside
625,frÃ¼h,fright
626,setzen,set
627,zuerst,first
628,wahrscheinlich,probably
629,dÃ¼rfen,dilate
630,jede,every
631,arsch,ass
632,telefon,phone
633,tue,do
634,kennst,know
635,willkommen,welcome
636,plan,plan
637,groÃŸen,tall
638,retten,rescue
639,hierher,here
640,wÃ¤r,wane
641,bring,bring
642,fehler,error
643,wollt,want
644,dollar,dollar
645,zehn,ten
646,allem,all
647,pass,passport
648,nÃ¤chste,next
649,stunde,lesson
650,hÃ¤nde,hand
651,gegeben,given
652,menge,crowd
653,langsam,slow
654,bereits,already
655,wartet,wait
656,sechs,six
657,lieben,love
658,meines,mine
659,bÃ¼ro,office
660,nÃ¤chsten,next
661,gebe,giving
662,wochen,weekly
663,ruf,call
664,schaffen,create
665,leider,Unfortunately
666,scheiÃŸ,shit
667,hÃ¶lle,Hall
668,trotzdem,despite this
669,doktor,doctor
670,tja,well
671,new,New
672,voll,fully
673,film,Movie
674,Ã¼berall,Overall
675,hund,dog
676,geworden,become
677,direkt,direct
678,wolltest,wanted
679,tat,did
680,denkt,thinks
681,schiff,ship
682,neues,new
683,wem,whom
684,kÃ¶nig,king
685,danach,after that
686,funktioniert,is working
687,hattest,had
688,lernen,to learn
689,deswegen,because of this
690,wow,Wow
691,nennen,to name
692,hm,Hm
693,feuer,Fire
694,laufen,to run
695,alleine,alone
696,erinnern,remember
697,vÃ¶llig,full
698,kleines,small
699,kÃ¶nnt,cannotted
700,stelle,Job
701,kumpel,Dude
702,verlieren,lose
703,probleme,problems
704,spricht,speaks
705,kaffee,coffee
706,luft,air
707,fand,found
708,i,I
709,entschuldige,Excuse me
710,ziehen,draw
711,verschwinden,disappear
712,kÃ¶nntest,mighty
713,seht,look
714,aufhÃ¶ren,break down
715,eigenen,own
716,richtige,right one
717,unserem,ours
718,suche,seek
719,zwar,that is
720,groÃŸ,tall
721,hol,hold
722,buch,a book
723,krank,ill
724,fÃ¼hle,feel
725,jedes,each
726,verstehst,understand
727,wert,worth
728,arzt,doctor
729,froh,joyful
730,versuche,tries
731,straÃŸe,street
732,rufen,call
733,heiraten,marry
734,super,great
735,sam,sam
736,lebt,lives
737,gutes,good
738,lasse,laser
739,onkel,uncle
740,total,total
741,gebracht,brought
742,party,party
743,erklÃ¤ren,explain
744,spielt,play
745,wahl,choice
746,vertrauen,trust
747,damals,back then
748,tagen,days
749,leicht,easy
750,nachdem,after
751,gegangen,went
752,gefÃ¼hl,feel
753,kaufen,to buy
754,geschafft,made
755,typen,types
756,interessiert,Interested
757,mÃ¶chten,want
758,halte,hold
759,hÃ¤lt,haunted
760,glaub,belie
761,irgendwo,somewhere
762,stÃ¼ck,pile
763,genauso,just like that
764,kennt,knows
765,genommen,taken
766,zukunft,future
767,weniger,fewer
768,cool,cool
769,licht,light
770,getroffen,met
771,himmel,heaven
772,nachricht,news
773,drÃ¼ben,put on
774,passt,fits
775,sagten,told
776,kÃ¼mmern,take care
777,laut,according to
778,vergiss,forget
779,angerufen,called
780,sitzen,sit
781,daÃŸ,that
782,erde,Earth
783,groÃŸer,greater
784,schlÃ¼ssel,clumsy
785,rest,rest
786,passieren,happen
787,eher,rather
788,gefragt,asked
789,gefÃ¤ngnis,fence
790,opfer,victim
791,kÃ¶rper,bark
792,solche,such
793,mist,damn
794,mr,mr
795,findet,find
796,schreiben,to write
797,bÃ¶se,base
798,gesprochen,spoken
799,versuch,attempt
800,vorstellen,introduce
801,wovon,About what
802,sobald,as soon
803,nochmal,once again
804,herren,Men's
805,sex,sex
806,waffen,weapons
807,wohnung,apartment
808,weh,sore
809,heiÃŸen,hot
810,krankenhaus,hospital
811,bringe,bring
812,hÃ¶re,shot
813,millionen,millions
814,klasse,class
815,hart,hard
816,worden,has been
817,sinn,sense
818,auÃŸerdem,besides
819,verletzt,injured
820,Ã¤ndern,Change
821,erfahren,Experienced
822,tragen,carry
823,wenigstens,at least
824,vorsichtig,carefully
825,daddy,daddy
826,stolz,proudly
827,stark,strong
828,fÃ¤llt,fall
829,mÃ¶chtest,man
830,leuten,people
831,besonders,especially
832,schÃ¶ne,beautiful
833,schicken,send
834,person,person
835,schÃ¤tze,shaft
836,solange,so long
837,lÃ¤nger,lural
838,groÃŸartig,tall
839,lacht,laugh
840,anrufen,call up
841,stand,was standing
842,redest,talk
843,fÃ¼hlen,feel
844,erwartet,expected
845,boden,floor
846,boss,boss
847,stimme,voice
848,glaubt,believe
849,still,quiet
850,sicherheit,safety
851,setz,sitting
852,ma,ma
853,mund,mouth
854,kÃ¤mpfen,fight
855,wisst,scoff
856,lachen,laugh
857,hÃ¶rst,hurry
858,zeug,things
859,lustig,fun
860,umbringen,kill
861,sollst,shorter
862,hasse,hate
863,schlimm,terrible
864,o,O
865,unglaublich,unbelievable
866,wÃ¤rst,might
867,laden,load
868,fÃ¼hren,go
869,gestorben,died
870,schauen,look
871,meinung,opinion
872,lesen,read
873,mÃ¶rder,marten
874,frank,frank
875,Ã¤hm,Ohm
876,geschehen,happen
877,geschÃ¤ft,business
878,idiot,idiot
879,verzeihung,forgiveness
880,fliegen,to fly
881,zeig,show
882,team,team
883,general,general
884,mike,mike
885,aufs,onto
886,york,York
887,vorher,before
888,schluss,Enough
889,schneller,more quickly
890,liebt,loving
891,verdient,deserved
892,mÃ¶gen,stomach
893,meisten,most
894,denk,think
895,umgebracht,killed
896,perfekt,Perfect
897,versprochen,promised
898,handy,mobile
899,hinten,rear
900,monate,months
901,erinnere,recall
902,acht,eight
903,arbeitet,is working
904,fallen,fall
905,rufe,call
906,nÃ¶tig,necessary
907,a,a
908,mord,murder
909,heraus,out
910,tages,day
911,unmÃ¶glich,impossible
912,liebling,Darling
913,charlie,Charlie
914,tatsÃ¤chlich,actual
915,folgen,Follow
916,bitten,request
917,behalten,to keep
918,nÃ¤he,close
919,arbeite,work
920,joe,joe
921,verdammte,damn
922,plÃ¶tzlich,suddenly
923,lebens,life
924,hole,go
925,tisch,table
926,michael,Michael
927,hÃ¶rte,hardness
928,jemals,ever
929,liegen,lie
930,verkaufen,to sell
931,gefÃ¤hrlich,dangerous
932,anfangen,begin
933,bekommt,receives
934,machte,bother
935,ha,Ha
936,hotel,hotel
937,hilft,help
938,werdet,become
939,meister,master
940,kampf,battle
941,antwort,reply
942,konnten,could
943,geschickt,sent
944,jedem,each
945,obwohl,although
946,sieben,seven
947,komisch,Strange
948,gewinnen,to win
949,ihres,Yours
950,bezahlt,paid
951,you,you
952,voller,full of
953,unterwegs,On the way
954,dumm,stupid
955,Ã¤rger,Ärger
956,bild,image
957,george,George
958,neu,New
959,bezahlen,pay
960,dagegen,on the other hand
961,seien,be
962,starb,died
963,tom,Tom
964,monaten,monthly
965,leiche,corpse
966,niemanden,no one
967,auge,eye
968,arschloch,asshole
969,verheiratet,married
970,peter,Peter
971,zieh,pull
972,nimmt,takes
973,gerettet,saved
974,agent,agent
975,traum,dream
976,entscheidung,decision
977,schlimmer,worse
978,regeln,rules
979,fenster,window
980,fangen,catch
981,fort,forth
982,stÃ¤ndig,perennial
983,findest,find
984,gefahr,danger
985,absolut,absolutely
986,mary,Mary
987,augenblick,moment
988,bescheid,notice
989,rum,rum
990,gedanken,thoughts
991,werd,be
992,ziel,aim
993,benutzt,used
994,bewegung,Move
995,jemandem,someone
996,wÃ¼nschte,wished
997,worte,words
998,kamen,came
999,welcher,which one
