,word
671,immagino
672,musica
673,tieni
674,oddio
675,jack
676,libro
677,eravamo
678,amica
679,diventare
680,sui
681,sbagliato
682,dirmi
683,wow
684,farai
685,entra
686,venuta
687,scelta
688,voluto
689,portare
690,assolutamente
691,molte
692,chiedo
693,torna
694,scoperto
695,fatti
696,settimane
697,dirlo
698,alcuni
699,prigione
700,giornata
701,piuttosto
702,buono
703,aspettare
704,parli
705,arrivare
706,lungo
707,vede
708,avvocato
709,deciso
710,sarai
711,messaggio
712,dormire
713,dieci
714,stupido
715,usare
716,dello
717,cielo
718,guardare
719,bagno
720,aria
721,voce
722,tornato
723,vuol
724,giÃ¹
725,conosci
726,benissimo
727,prendo
728,verita
729,cane
730,restare
731,chiamare
732,poter
733,campo
734,luce
735,sam
736,qualunque
737,giovane
738,signori
739,fra
740,provare
741,minuto
742,saperlo
743,lontano
744,gruppo
745,continua
746,arrivo
747,gran
748,realta
749,cerca
750,passo
751,domande
752,insomma
753,bambina
754,pensando
755,capelli
756,trova
757,onore
758,aiutare
759,veritÃ
760,prove
761,n'
762,funziona
763,alto
764,giu
765,credevo
766,futuro
767,preoccuparti
768,idiota
769,cibo
770,fretta
771,cara
772,finalmente
773,morti
774,odio
775,solito
776,brava
777,Ã©
778,incidente
779,allo
780,dev'
781,intenzione
782,speciale
783,cambiare
784,vera
785,camera
786,oltre
787,semplice
788,dirti
789,riguardo
790,finche
791,aspetto
792,viaggio
793,chiaro
794,chiamata
795,bocca
796,permesso
797,piacerebbe
798,dovete
799,giocare
800,ordine
801,circa
802,ovviamente
803,finire
804,piu'
805,natale
806,i'
807,direi
808,vostri
809,occhio
810,pronta
811,scusami
812,mattina
813,cercato
814,crede
815,sistema
816,york
817,fondo
818,resta
819,devono
820,prossimo
821,pronti
822,saputo
823,scusate
824,potere
825,milioni
826,soltanto
827,armi
828,arriva
829,fermo
830,mese
831,chiedere
832,cristo
833,torno
834,venite
835,controllare
836,appuntamento
837,s
838,chiami
839,vecchia
840,detective
841,pero
842,metti
843,grado
844,vanno
845,nave
846,iniziato
847,perche'
848,informazioni
849,libero
850,stronzo
851,grandi
852,pezzo
853,segreto
854,colpo
855,faceva
856,piacciono
857,porto
858,oppure
859,completamente
860,vederti
861,lista
862,venga
863,veloce
864,assassino
865,sapeva
866,finchÃ©
867,tom
868,ormai
869,interessa
870,generale
871,giusta
872,tenere
873,pazzo
874,vittima
875,giuro
876,consiglio
877,michael
878,alcune
879,semplicemente
880,zio
881,centro
882,specie
883,mille
884,sogno
885,lasci
886,carino
887,doveva
888,brutto
889,nello
890,aspetti
891,incredibile
892,sole
893,glielo
894,legge
895,spesso
896,guardate
897,cambiato
898,scena
899,volevi
900,charlie
901,lasciami
902,gentile
903,rispetto
904,ve
905,fara
906,zitto
907,incontro
908,farÃ
909,servono
910,rapporto
911,errore
912,mike
913,sanno
914,pagare
915,sorpresa
916,occhiata
917,risposta
918,presa
919,servizio
920,medico
921,usato
922,hey
923,caro
924,schifo
925,avrai
926,dolore
927,saresti
928,personale
929,quali
930,saro
931,peggio
932,addio
933,addosso
934,dovevo
935,poteva
936,pieno
937,diverso
938,vestiti
939,sparato
940,realtÃ
941,do
942,sarÃ²
943,normale
944,fame
945,programma
946,nonna
947,sappia
948,sembrava
949,migliori
950,notizie
951,avevamo
952,riesci
953,posizione
954,vengo
955,rimanere
956,compagnia
957,proposito
958,farci
959,joe
960,ricorda
961,frank
962,prende
963,tante
964,avevano
965,arrivando
966,chiuso
967,terribile
968,ritardo
969,attento
970,bar
971,sembri
972,fallo
973,dimenticato
974,bisogna
975,impossibile
976,cioÃ¨
977,studio
978,stessi
979,arma
980,conosce
981,uscita
982,ii
983,fin
984,disse
985,david
986,vattene
987,quante
988,guai
989,intorno
990,video
991,manca
992,esserci
993,grosso
994,tanti
995,dolce
996,chiave
997,cervello
998,coraggio
999,interessante
